"","subject_race","search_conducted","contraband_found","outcome","arrest_made","use_of_force_description"
"2091","other/unknown","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"2092","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2093","hispanic","TRUE","FALSE",NA,"FALSE","no curb, no handcuff, no police vehicle"
"2094","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"2095","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"2096","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2097","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"2098","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2099","asian/pacific islander","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2100","black","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2101","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2102","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"2103","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"2104",NA,NA,NA,"citation","FALSE",NA
"2105","asian/pacific islander","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"2106","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2107","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
"2108","hispanic","FALSE",NA,"citation","FALSE","no curb, no handcuff, no police vehicle"
"2109",NA,"TRUE","FALSE","citation","FALSE","no curb, no handcuff, no police vehicle"
"2110","hispanic","FALSE",NA,NA,"FALSE","no curb, no handcuff, no police vehicle"
